"date","sport","home_team","away_team","home_1H","home_2H","away_1H","away_2H","home_score","away_score","home_open","away_open","pinnacle_h","pinnacle_a","pinnacle_t","five_dimes_h","five_dimes_a","five_dimes_t","bookmaker_h","bookmaker_a","bookmaker_t","bOL_h","bOL_a","bOL_t","bovada_h","bovada_a","bovada_t","heritage_h","heritage_a","heritage_t","intertops_h","intertops_a","intertops_t","youwager_h","youwager_a","youwager_t","justbet_h","justbet_a","justbet_t","sportsbet_h","sportsbet_a","sportsbet_t","odds_URL"
20150808,"soccer_epl","Bournemouth AFC","Aston Villa",0,0,0,1,0,1,"-102","+300",-122,372,287,110,555,150,-120,345,272,-128,330,290,"+100","+275",230,-125,340,265,-125,320,250,-123,341,267,-120,345,272,-128,330,290,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150808,"soccer_epl","Chelsea FC","Swansea City",2,0,1,1,2,2,"-265","+850",-269,983,403,-600,2775,660,-290,975,390,-285,900,375,"-400","+1000",450,-278,840,380,-278,700,340,-256,765,362,-290,975,390,-285,900,375,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150808,"soccer_epl","Crystal Palace","Norwich City",1,2,0,1,3,1,"+195","+154",234,138,231,-155,620,265,205,145,230,205,144,220,"+170","+150",230,200,140,225,190,140,210,199,147,222,205,145,230,205,144,220,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150808,"soccer_epl","Manchester United","Tottenham Hotspur",1,0,0,0,1,0,"-165","+500",-156,504,307,-393,1770,500,-150,465,290,-159,520,265,"-155","+400",275,NA,NA,NA,-175,425,290,-164,450,303,-150,465,290,-159,520,265,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150808,"soccer_epl","Sunderland AFC","Leicester City",0,2,3,1,2,4,"+315","-105",410,-126,274,17350,-10250,4000,375,-125,265,370,-127,260,"+260","+100",240,375,-130,260,360,-137,245,382,-128,256,375,-125,265,370,-127,260,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150808,"soccer_epl","Watford FC","Everton FC",1,1,0,2,2,2,"+426","-144",451,-135,278,100,380,218,375,-125,263,375,-140,275,"","",NA,375,-125,250,350,-137,260,350,-125,268,375,-125,263,375,-140,275,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150808"
20150809,"soccer_epl","Arsenal FC","West Ham United",0,0,1,1,0,2,"-350","+1000",-415,1400,575,130,280,210,-436,1252,551,-455,1250,540,"-330","+800",400,-455,1200,550,-455,1000,475,-417,1125,526,-436,1252,551,-455,1250,540,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150809"
20150809,"soccer_epl","Newcastle United","Southampton FC",1,1,1,1,2,2,"+195","+155",215,151,228,225,230,145,200,150,225,200,156,205,"+180","+140",235,195,151,215,190,140,210,199,148,220,200,150,225,200,156,205,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150809"
20150809,"soccer_epl","Stoke City","Liverpool FC",0,0,0,1,0,1,"+230","+125",289,109,251,350,165,140,265,112,240,275,100,250,"+185","+135",240,265,110,230,260,100,225,274,106,237,265,112,240,275,100,250,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150809"
20150810,"soccer_epl","West Bromwich Albion","Manchester City",0,0,2,1,0,3,"+450","-160",546,-163,308,11850,-3595,3195,500,-165,300,500,-175,300,"+500","-180",285,475,-159,280,425,-175,290,445,-164,308,500,-165,300,500,-175,300,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150810"
20150814,"soccer_epl","Aston Villa","Manchester United",0,0,1,0,0,1,"+525","-163",406,-126,277,1905,-365,467,400,-127,257,400,-140,260,"+430","+109",126,390,-126,240,375,-137,245,394,-132,259,417,-133,265,400,-140,260,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150814"
20150815,"soccer_epl","Southampton FC","Everton FC",0,0,2,1,0,3,"-108","+333",104,303,254,1800,-535,695,-107,300,260,-105,285,255,"+165","+300",105,103,284,245,-105,275,230,100,286,243,-107,300,260,-105,285,255,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150815,"soccer_epl","Sunderland AFC","Norwich City",0,1,2,1,1,3,"+143","+203",186,166,239,4500,-1100,1100,180,160,233,185,165,210,"+250","+240",-105,185,160,215,175,155,210,182,163,219,180,160,233,185,165,210,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150815,"soccer_epl","Swansea City","Newcastle United",1,1,0,0,2,0,"+100","+300",-117,349,286,-930,4700,910,-123,345,280,-119,340,260,"+150","+330",110,-117,340,265,-125,320,250,-120,333,265,-123,345,280,-119,340,260,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150815,"soccer_epl","Tottenham Hotspur","Stoke City",2,0,0,2,2,2,"-133","+385",-135,455,276,-2120,10950,2115,-145,440,285,-155,425,260,"+129","+376",116,-139,411,275,-149,375,265,-149,417,286,-153,455,290,-155,425,260,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150815,"soccer_epl","Watford FC","West Bromwich Albion",0,0,0,0,0,0,"+127","+223",108,278,264,130,400,160,100,285,255,-102,285,230,"+165","+300",110,105,285,240,100,265,230,102,281,241,100,285,255,-102,285,230,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150815,"soccer_epl","West Ham United","Leicester City",0,1,2,0,1,2,"+135","+217",138,215,254,2350,-600,770,135,205,246,142,205,225,"+150","+325",110,141,195,225,135,190,230,140,197,238,143,194,246,142,205,225,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150815"
20150816,"soccer_epl","Crystal Palace","Arsenal FC",1,0,1,1,1,2,"+400","-138",440,-144,308,530,-115,205,440,-158,305,415,-165,285,"+375","+125",120,370,-136,285,360,-154,275,383,-143,295,440,-158,305,415,-165,285,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150816"
20150816,"soccer_epl","Manchester City","Chelsea FC",1,2,0,0,3,0,"+117","+245",101,297,269,-350,1475,480,-105,305,250,-110,285,250,"+170","+270",115,-101,275,245,-111,285,245,-106,298,254,-105,305,250,-110,285,250,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150816"
20150817,"soccer_epl","Liverpool FC","Bournemouth AFC",1,0,0,0,1,0,"-203","+614",-183,595,335,-465,2250,550,-203,600,340,-230,600,340,"-120","+550",138,-193,625,320,-200,500,310,-189,524,324,-203,600,340,-230,600,340,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150817"
20150822,"soccer_epl","Crystal Palace","Aston Villa",0,2,0,1,2,1,"-118","+355",-124,393,279,150,365,150,-133,390,275,-125,340,275,"-125","+375",260,-133,376,254,-133,360,245,-127,375,257,-133,390,275,-125,340,275,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150822,"soccer_epl","Leicester City","Tottenham Hotspur",0,1,0,1,1,1,"+156","+178",161,183,252,240,220,140,150,185,245,157,185,220,"+150","+180",240,150,185,240,140,175,230,147,184,242,150,185,245,157,185,220,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150822,"soccer_epl","Manchester United","Newcastle United",0,0,0,0,0,0,"-257","+733",-290,1022,433,-153,845,225,-286,900,400,-303,900,400,"-300","+850",420,-295,775,430,-303,750,375,-286,783,408,-286,900,400,-303,900,400,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150822,"soccer_epl","Norwich City","Stoke City",1,0,1,0,1,1,"+133","+233",115,282,242,160,355,140,110,270,240,114,260,230,"+110","+260",230,114,260,230,110,245,220,113,259,231,110,270,240,114,260,230,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150822,"soccer_epl","Sunderland AFC","Swansea City",0,1,1,0,1,1,"+285","+108",291,107,255,1750,-340,425,285,104,244,280,-105,235,"+283","+104",234,265,107,240,275,100,225,283,104,234,285,104,244,280,-105,235,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150822,"soccer_epl","West Ham United","Bournemouth AFC",0,3,2,2,3,4,"+138","+213",164,181,251,3100,-870,1050,162,168,248,150,175,240,"+150","+180",250,144,200,235,150,170,225,154,178,237,162,168,248,150,175,240,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150822"
20150823,"soccer_epl","Everton FC","Manchester City",0,0,0,2,0,2,"+400","-150",441,-146,313,505,-105,195,420,-156,315,380,-147,310,"+425","-165",310,385,-145,295,375,-154,290,390,-149,305,420,-156,315,380,-147,310,"https://classic.sportsbookreview.com/betting-odds/soccer/?leagueId=english-premier-league&date=20150823"
